position_id,delivery_time,direction,volume_mwh,trade_price_eur_mwh
POS-00001,2025-10-01 00:30:00+00:00,SELL,25.82,75.46
POS-00002,2025-10-01 02:00:00+00:00,SELL,51.69,46.7
POS-00003,2025-10-01 09:15:00+00:00,SELL,81.18,66.69
POS-00004,2025-10-01 15:45:00+00:00,BUY,70.37,115.72
POS-00005,2025-10-01 21:15:00+00:00,BUY,56.26,78.41
POS-00006,2025-10-02 00:00:00+00:00,SELL,46.51,28.63
POS-00007,2025-10-02 08:15:00+00:00,BUY,6.21,66.99
POS-00008,2025-10-02 15:30:00+00:00,SELL,76.26,84.86
POS-00009,2025-10-02 16:30:00+00:00,SELL,10.35,125.1
POS-00010,2025-10-03 07:15:00+00:00,BUY,15.33,79.3
POS-00011,2025-10-03 09:45:00+00:00,BUY,60.45,96.29
POS-00012,2025-10-03 13:30:00+00:00,BUY,69.97,94.43
POS-00013,2025-10-03 23:45:00+00:00,BUY,67.92,38.86
POS-00014,2025-10-04 01:45:00+00:00,BUY,41.19,51.16
POS-00015,2025-10-04 04:00:00+00:00,BUY,19.16,60.47
POS-00016,2025-10-04 04:45:00+00:00,SELL,7.82,70.5
POS-00017,2025-10-04 16:45:00+00:00,SELL,73.11,108.94
POS-00018,2025-10-04 22:30:00+00:00,SELL,83.22,60.85
POS-00019,2025-10-04 23:45:00+00:00,SELL,24.53,24.51
POS-00020,2025-10-05 01:00:00+00:00,SELL,74.29,58.96
POS-00021,2025-10-05 04:30:00+00:00,BUY,37.2,47.89
POS-00022,2025-10-05 10:00:00+00:00,BUY,29.91,45.94
POS-00023,2025-10-05 10:45:00+00:00,SELL,45.41,110.16
POS-00024,2025-10-05 13:30:00+00:00,BUY,5.65,72.29
POS-00025,2025-10-05 19:15:00+00:00,BUY,40.42,78.78
POS-00026,2025-10-05 22:30:00+00:00,BUY,20.96,42.8
POS-00027,2025-10-06 01:30:00+00:00,BUY,62.0,34.6
POS-00028,2025-10-06 07:15:00+00:00,SELL,45.21,69.2
POS-00029,2025-10-06 07:30:00+00:00,SELL,74.51,61.83
POS-00030,2025-10-06 18:15:00+00:00,BUY,76.73,131.48
POS-00031,2025-10-07 08:15:00+00:00,BUY,30.34,62.29
POS-00032,2025-10-07 11:30:00+00:00,BUY,27.43,108.7
POS-00033,2025-10-07 13:00:00+00:00,BUY,80.13,75.84
POS-00034,2025-10-07 13:45:00+00:00,BUY,45.32,110.17
POS-00035,2025-10-07 21:30:00+00:00,SELL,12.72,75.7
POS-00036,2025-10-07 21:45:00+00:00,BUY,8.67,69.15
POS-00037,2025-10-08 00:45:00+00:00,BUY,84.23,43.97
POS-00038,2025-10-08 05:45:00+00:00,BUY,51.33,88.08
POS-00039,2025-10-08 15:15:00+00:00,SELL,9.36,91.58
POS-00040,2025-10-09 01:15:00+00:00,BUY,45.9,75.29
POS-00041,2025-10-10 01:30:00+00:00,BUY,45.33,66.03
POS-00042,2025-10-10 05:15:00+00:00,SELL,39.83,91.77
POS-00043,2025-10-10 14:30:00+00:00,BUY,81.1,99.1
POS-00044,2025-10-10 18:15:00+00:00,SELL,80.9,32.97
POS-00045,2025-10-11 00:30:00+00:00,SELL,15.0,32.93
POS-00046,2025-10-11 01:15:00+00:00,SELL,17.14,51.93
POS-00047,2025-10-11 06:00:00+00:00,BUY,37.6,59.87
POS-00048,2025-10-11 07:15:00+00:00,SELL,71.72,63.49
POS-00049,2025-10-11 09:15:00+00:00,BUY,54.9,105.89
POS-00050,2025-10-11 13:15:00+00:00,SELL,63.39,80.78
POS-00051,2025-10-12 01:00:00+00:00,BUY,51.08,51.32
POS-00052,2025-10-12 11:15:00+00:00,SELL,21.8,122.06
POS-00053,2025-10-12 13:15:00+00:00,BUY,70.42,104.43
POS-00054,2025-10-13 02:45:00+00:00,BUY,6.12,41.75
POS-00055,2025-10-13 03:15:00+00:00,BUY,60.88,67.5
POS-00056,2025-10-13 04:15:00+00:00,BUY,20.55,52.44
POS-00057,2025-10-13 09:15:00+00:00,SELL,42.69,106.58
POS-00058,2025-10-14 01:00:00+00:00,BUY,83.01,70.84
POS-00059,2025-10-14 10:15:00+00:00,SELL,48.12,99.31
POS-00060,2025-10-14 11:45:00+00:00,SELL,9.56,102.87
POS-00061,2025-10-14 12:30:00+00:00,SELL,39.3,95.6
POS-00062,2025-10-14 12:45:00+00:00,SELL,57.82,95.65
POS-00063,2025-10-14 20:30:00+00:00,SELL,9.54,64.01
POS-00064,2025-10-14 22:30:00+00:00,BUY,25.21,102.96
POS-00065,2025-10-14 23:45:00+00:00,BUY,6.47,36.66
POS-00066,2025-10-15 00:00:00+00:00,BUY,48.21,50.18
POS-00067,2025-10-15 06:15:00+00:00,BUY,35.52,83.98
POS-00068,2025-10-15 09:45:00+00:00,BUY,45.3,92.58
POS-00069,2025-10-15 11:15:00+00:00,SELL,28.67,97.6
POS-00070,2025-10-15 19:00:00+00:00,BUY,57.54,93.77
POS-00071,2025-10-15 21:15:00+00:00,SELL,18.85,97.47
POS-00072,2025-10-16 06:30:00+00:00,BUY,77.53,68.1
POS-00073,2025-10-16 19:15:00+00:00,SELL,81.81,112.47
POS-00074,2025-10-17 01:45:00+00:00,SELL,44.44,47.71
POS-00075,2025-10-17 05:15:00+00:00,BUY,42.23,68.61
POS-00076,2025-10-17 18:15:00+00:00,SELL,73.77,116.38
POS-00077,2025-10-17 22:15:00+00:00,SELL,28.19,73.09
POS-00078,2025-10-18 00:15:00+00:00,SELL,69.25,54.86
POS-00079,2025-10-18 12:45:00+00:00,SELL,27.98,118.12
POS-00080,2025-10-18 22:45:00+00:00,BUY,62.6,89.86
POS-00081,2025-10-19 06:15:00+00:00,BUY,31.72,83.72
POS-00082,2025-10-19 06:45:00+00:00,SELL,53.21,74.78
POS-00083,2025-10-19 08:00:00+00:00,SELL,79.07,55.56
POS-00084,2025-10-19 11:45:00+00:00,BUY,9.35,107.95
POS-00085,2025-10-19 21:30:00+00:00,SELL,69.58,75.84
POS-00086,2025-10-19 23:30:00+00:00,SELL,48.35,81.19
POS-00087,2025-10-20 01:15:00+00:00,SELL,35.33,63.13
POS-00088,2025-10-20 04:15:00+00:00,BUY,33.02,86.25
POS-00089,2025-10-20 08:15:00+00:00,BUY,10.55,110.97
POS-00090,2025-10-20 11:00:00+00:00,BUY,25.67,107.58
POS-00091,2025-10-20 17:00:00+00:00,BUY,54.85,111.15
POS-00092,2025-10-20 17:45:00+00:00,SELL,12.81,116.09
POS-00093,2025-10-20 18:15:00+00:00,BUY,58.55,122.52
POS-00094,2025-10-20 19:15:00+00:00,SELL,81.98,121.16
POS-00095,2025-10-21 00:00:00+00:00,BUY,83.46,67.65
POS-00096,2025-10-21 10:00:00+00:00,SELL,76.14,94.36
POS-00097,2025-10-21 12:15:00+00:00,BUY,69.53,132.68
POS-00098,2025-10-21 14:15:00+00:00,BUY,19.24,107.29
POS-00099,2025-10-21 23:45:00+00:00,BUY,82.61,79.95
POS-00100,2025-10-22 13:15:00+00:00,BUY,21.22,102.62
POS-00101,2025-10-22 19:45:00+00:00,SELL,74.52,106.98
POS-00102,2025-10-23 03:00:00+00:00,SELL,75.23,91.3
POS-00103,2025-10-23 14:30:00+00:00,BUY,54.75,95.09
POS-00104,2025-10-23 17:15:00+00:00,BUY,46.7,102.12
POS-00105,2025-10-23 17:30:00+00:00,SELL,21.03,90.43
POS-00106,2025-10-24 04:45:00+00:00,BUY,46.56,74.4
POS-00107,2025-10-24 05:00:00+00:00,SELL,28.25,119.64
POS-00108,2025-10-24 08:30:00+00:00,SELL,15.07,81.64
POS-00109,2025-10-24 09:00:00+00:00,BUY,15.26,109.69
POS-00110,2025-10-24 13:00:00+00:00,BUY,69.09,71.17
POS-00111,2025-10-25 07:30:00+00:00,SELL,78.79,75.03
POS-00112,2025-10-25 11:45:00+00:00,SELL,16.35,105.21
POS-00113,2025-10-25 15:45:00+00:00,BUY,6.06,116.1
POS-00114,2025-10-25 17:00:00+00:00,SELL,26.09,93.4
POS-00115,2025-10-26 01:00:00+00:00,BUY,15.76,51.68
POS-00116,2025-10-26 01:45:00+00:00,SELL,20.09,53.04
POS-00117,2025-10-26 02:30:00+00:00,SELL,51.67,33.35
POS-00118,2025-10-26 17:45:00+00:00,BUY,38.78,99.3
POS-00119,2025-10-27 15:30:00+00:00,BUY,39.34,116.65
POS-00120,2025-10-27 19:45:00+00:00,SELL,21.45,75.98
POS-00121,2025-10-27 22:45:00+00:00,BUY,58.17,88.12
POS-00122,2025-10-28 00:00:00+00:00,SELL,28.16,73.41
POS-00123,2025-10-28 00:45:00+00:00,SELL,36.93,49.36
POS-00124,2025-10-28 01:30:00+00:00,BUY,42.07,28.86
POS-00125,2025-10-28 11:00:00+00:00,SELL,77.35,113.83
POS-00126,2025-10-28 19:30:00+00:00,BUY,24.71,112.06
POS-00127,2025-10-28 19:45:00+00:00,BUY,62.49,124.85
POS-00128,2025-10-28 22:45:00+00:00,BUY,29.75,78.23
POS-00129,2025-10-29 06:00:00+00:00,BUY,76.55,69.0
POS-00130,2025-10-29 14:15:00+00:00,BUY,36.53,122.78
POS-00131,2025-10-29 16:30:00+00:00,SELL,45.41,116.12
POS-00132,2025-10-30 00:30:00+00:00,SELL,75.18,60.0
POS-00133,2025-10-30 01:15:00+00:00,BUY,58.82,55.42
POS-00134,2025-10-30 02:30:00+00:00,BUY,12.55,71.81
POS-00135,2025-10-30 03:45:00+00:00,SELL,15.95,72.91
POS-00136,2025-10-30 06:45:00+00:00,BUY,84.26,77.16
POS-00137,2025-10-30 10:45:00+00:00,SELL,7.33,112.24
POS-00138,2025-10-31 00:45:00+00:00,BUY,29.07,66.6
POS-00139,2025-10-31 04:15:00+00:00,BUY,81.71,71.1
POS-00140,2025-10-31 05:30:00+00:00,SELL,6.21,70.24
POS-00141,2025-10-31 06:15:00+00:00,SELL,17.91,69.85
POS-00142,2025-10-31 07:45:00+00:00,SELL,22.07,99.62
POS-00143,2025-10-31 16:15:00+00:00,BUY,11.91,101.81
POS-00144,2025-10-31 20:30:00+00:00,SELL,42.76,88.91
POS-00145,2025-10-31 22:15:00+00:00,BUY,52.4,60.8
POS-00146,2025-10-31 22:45:00+00:00,SELL,30.47,88.55
POS-00147,2025-10-31 23:00:00+00:00,BUY,13.69,79.27
POS-00148,2025-11-01 01:30:00+00:00,BUY,69.88,51.49
POS-00149,2025-11-01 06:00:00+00:00,BUY,69.36,72.92
POS-00150,2025-11-01 13:00:00+00:00,SELL,49.97,106.56
POS-00151,2025-11-01 13:15:00+00:00,BUY,16.02,94.37
POS-00152,2025-11-01 15:15:00+00:00,SELL,48.35,89.07
POS-00153,2025-11-01 21:00:00+00:00,SELL,55.36,83.51
POS-00154,2025-11-02 06:30:00+00:00,SELL,39.26,85.69
POS-00155,2025-11-02 16:45:00+00:00,SELL,74.11,130.28
POS-00156,2025-11-02 21:30:00+00:00,SELL,36.2,49.14
POS-00157,2025-11-03 01:15:00+00:00,BUY,45.87,82.32
POS-00158,2025-11-03 02:45:00+00:00,BUY,14.13,51.57
POS-00159,2025-11-03 03:30:00+00:00,BUY,50.08,62.69
POS-00160,2025-11-03 04:15:00+00:00,BUY,66.32,39.09
POS-00161,2025-11-03 06:00:00+00:00,BUY,63.5,93.94
POS-00162,2025-11-03 17:00:00+00:00,SELL,25.56,112.35
POS-00163,2025-11-04 07:00:00+00:00,SELL,84.35,70.3
POS-00164,2025-11-04 07:30:00+00:00,BUY,62.59,83.88
POS-00165,2025-11-04 13:00:00+00:00,SELL,38.9,109.41
POS-00166,2025-11-04 15:30:00+00:00,BUY,38.19,91.64
POS-00167,2025-11-04 18:45:00+00:00,SELL,67.35,84.23
POS-00168,2025-11-05 10:00:00+00:00,SELL,19.05,75.25
POS-00169,2025-11-05 13:15:00+00:00,BUY,56.17,93.36
POS-00170,2025-11-05 18:00:00+00:00,SELL,62.51,100.96
POS-00171,2025-11-05 22:15:00+00:00,BUY,46.31,58.8
POS-00172,2025-11-05 23:30:00+00:00,SELL,74.86,61.31
POS-00173,2025-11-06 06:15:00+00:00,SELL,42.49,72.82
POS-00174,2025-11-06 08:00:00+00:00,BUY,42.19,70.29
POS-00175,2025-11-06 11:45:00+00:00,BUY,27.77,87.76
POS-00176,2025-11-06 17:15:00+00:00,BUY,78.55,136.21
POS-00177,2025-11-07 00:00:00+00:00,SELL,30.3,39.36
POS-00178,2025-11-07 00:15:00+00:00,SELL,60.62,36.19
POS-00179,2025-11-07 02:30:00+00:00,SELL,37.75,37.63
POS-00180,2025-11-07 20:45:00+00:00,BUY,79.83,71.39
POS-00181,2025-11-07 21:45:00+00:00,SELL,80.84,42.05
POS-00182,2025-11-08 03:00:00+00:00,SELL,7.4,41.37
POS-00183,2025-11-08 04:45:00+00:00,SELL,84.56,26.74
POS-00184,2025-11-08 07:30:00+00:00,BUY,53.39,64.9
POS-00185,2025-11-08 18:45:00+00:00,SELL,10.91,97.1
POS-00186,2025-11-09 02:15:00+00:00,BUY,44.76,45.21
POS-00187,2025-11-09 03:45:00+00:00,BUY,8.96,32.52
POS-00188,2025-11-09 04:00:00+00:00,BUY,48.91,38.09
POS-00189,2025-11-09 07:45:00+00:00,BUY,19.84,35.85
POS-00190,2025-11-09 12:00:00+00:00,BUY,34.44,82.06
POS-00191,2025-11-10 03:00:00+00:00,BUY,29.38,43.12
POS-00192,2025-11-10 05:45:00+00:00,SELL,53.18,75.55
POS-00193,2025-11-10 06:45:00+00:00,BUY,70.79,94.49
POS-00194,2025-11-10 13:30:00+00:00,SELL,79.92,109.98
POS-00195,2025-11-10 16:30:00+00:00,BUY,31.31,69.66
POS-00196,2025-11-11 09:30:00+00:00,SELL,50.58,64.62
POS-00197,2025-11-11 14:45:00+00:00,BUY,5.47,102.66
POS-00198,2025-11-11 16:00:00+00:00,BUY,34.77,113.37
POS-00199,2025-11-11 18:15:00+00:00,SELL,81.86,99.79
POS-00200,2025-11-11 20:00:00+00:00,BUY,14.51,82.0
POS-00201,2025-11-12 05:00:00+00:00,SELL,74.59,52.95
POS-00202,2025-11-12 05:45:00+00:00,SELL,57.2,57.95
POS-00203,2025-11-12 11:45:00+00:00,SELL,28.51,62.15
POS-00204,2025-11-12 13:30:00+00:00,BUY,67.25,80.67
POS-00205,2025-11-12 15:30:00+00:00,SELL,28.14,80.81
POS-00206,2025-11-12 22:30:00+00:00,BUY,76.59,30.55
POS-00207,2025-11-13 01:30:00+00:00,SELL,11.62,47.84
POS-00208,2025-11-13 15:00:00+00:00,SELL,14.52,74.03
POS-00209,2025-11-13 15:45:00+00:00,SELL,65.0,97.65
POS-00210,2025-11-13 23:15:00+00:00,BUY,40.93,61.4
POS-00211,2025-11-14 05:15:00+00:00,BUY,16.8,65.73
POS-00212,2025-11-14 05:30:00+00:00,BUY,46.07,55.3
POS-00213,2025-11-14 12:30:00+00:00,BUY,28.76,88.99
POS-00214,2025-11-14 14:15:00+00:00,SELL,48.95,53.73
POS-00215,2025-11-14 14:45:00+00:00,SELL,64.5,104.09
POS-00216,2025-11-14 16:45:00+00:00,BUY,73.55,87.79
POS-00217,2025-11-14 22:45:00+00:00,SELL,9.72,36.89
POS-00218,2025-11-15 06:00:00+00:00,SELL,52.39,42.97
POS-00219,2025-11-15 12:15:00+00:00,BUY,83.69,87.92
POS-00220,2025-11-15 13:00:00+00:00,SELL,41.78,69.03
POS-00221,2025-11-15 15:00:00+00:00,SELL,66.57,115.43
POS-00222,2025-11-15 16:00:00+00:00,BUY,12.78,102.26
POS-00223,2025-11-15 22:30:00+00:00,SELL,74.88,46.73
POS-00224,2025-11-15 23:30:00+00:00,SELL,51.56,32.68
POS-00225,2025-11-16 03:30:00+00:00,SELL,76.06,20.66
POS-00226,2025-11-16 05:45:00+00:00,BUY,67.97,40.21
POS-00227,2025-11-16 07:00:00+00:00,SELL,74.54,54.99
POS-00228,2025-11-16 12:15:00+00:00,SELL,9.58,109.2
POS-00229,2025-11-16 14:30:00+00:00,SELL,62.24,69.22
POS-00230,2025-11-16 15:15:00+00:00,SELL,20.76,46.06
POS-00231,2025-11-16 18:45:00+00:00,BUY,26.26,63.78
POS-00232,2025-11-17 03:00:00+00:00,SELL,30.98,56.0
POS-00233,2025-11-17 05:45:00+00:00,SELL,52.31,44.33
POS-00234,2025-11-17 06:45:00+00:00,SELL,55.23,57.0
POS-00235,2025-11-17 12:00:00+00:00,BUY,79.52,83.2
POS-00236,2025-11-17 17:15:00+00:00,BUY,6.02,104.55
POS-00237,2025-11-17 18:30:00+00:00,SELL,20.48,94.33
POS-00238,2025-11-17 20:15:00+00:00,BUY,33.96,60.77
POS-00239,2025-11-18 01:30:00+00:00,SELL,70.44,46.6
POS-00240,2025-11-18 02:15:00+00:00,SELL,48.99,27.48
POS-00241,2025-11-18 10:00:00+00:00,BUY,45.96,71.39
POS-00242,2025-11-18 14:45:00+00:00,BUY,65.81,74.76
POS-00243,2025-11-19 04:30:00+00:00,BUY,57.4,39.15
POS-00244,2025-11-19 20:30:00+00:00,SELL,28.19,65.49
POS-00245,2025-11-20 04:30:00+00:00,BUY,11.97,34.28
POS-00246,2025-11-20 12:15:00+00:00,BUY,41.98,79.67
